unit_id,sair_number,sair_letter,sair_title,unit_order,unit_type,text_arabic,transliteration_latin,translation_indonesian,text_gorontalo,doc_pages,pdf_pages
sair_01_unit_01,1,a,Sair Pertama,1,header_dan_pembuka,اللَّهُمَّ صَلِّ وَسَلِّمْ وَبَارِكْ عَلَيْهِ,Allāhumma ṣalli wa sallim wa bārik 'alaih,"Ya Allah, limpahkanlah salawat, keselamatan, dan keberkahan kepadanya.",,28-37,31-40
sair_01_unit_02,1,a,Sair Pertama,2,puisi_sair,"السَّلَامُ عَلَيْكَ زَيْنَ الْأَنْبِيَاءِ * السَّلَامُ عَلَيْكَ أَتْقَى الْأَتْقِيَاءِ
السَّلَامُ عَلَيْكَ أَصْفَى الْأَصْفِيَاءِ * السَّلَامُ عَلَيْكَ أَزْكَى الْأَزْكِيَاءِ
السَّلَامُ عَلَيْكَ مِنْ رَبِّ السَّمَاءِ * السَّلَامُ عَلَيْكَ دَائِمًا بِلَا انْقِضَاءِ","assalāmu 'alaika zainal anbiyā'i; assalāmu 'alaika atqal atqiyā'i.
assalāmu 'alaika aṣfal aṣfiyā'i; assalāmu 'alaika azkal azkiyā'i.
assalāmu 'alaika min rabbis-samā'i; assalāmu 'alaikadāiman bilā inqiḍā'i.","Selamat buatmu, yang termulia di antara para nabi; Selamat buatmu, yang paling bertaqwa di antara orang-orang yang bertaqwa; Selamat buatmu, yang paling ikhlas di antara orang-orang yang ikhlas; Selamat buatmu, yang paling bersih di antara orang-orang yang bersih; Selamat buatmu, yang berasal dari Tuhan (Pemilik) langit; Selamat buatmu, yang senantiasa tidak pernah ingkar (melawan).",,28-37,31-40
sair_01_unit_03,1,a,Sair Pertama,3,puisi_sair,"السَّلَامُ عَلَيْكَ زَيْنَ الْأَنْبِيَاءِ * السَّلَامُ عَلَيْكَ أَحْمَدَ يَا حَبِيْبِي
السَّلَامُ عَلَيْكَ طٰهٰ يَا طَبِيْبِي * السَّلَامُ عَلَيْكَ زَيْنَ الْأَنْبِيَاءِ
السَّلَامُ عَلَيْكَ أَحْمَدَ يَا مُحَمَّدُ * السَّلَامُ عَلَيْكَ طٰهٰ يَا مُمَجَّدُ","assalāmu 'alaika zainal anbiyā'i; assalāmu 'alaika ahmad yā habībī.
assalāmu 'alaika ṭāhā yāṭabībī; assalāmu 'alaika zainal anbiyā'i.
assalāmu 'alaika ahmad yā muhammad; assalāmu 'alaika ṭāhā yā mumajjad.","Selamat buatmu, yang termulia di antara para nabi; Selamat buatmu, yang paling terpuji, wahai kekasihku; Selamat buatmu, Ṭāhā, wahai dokterku (yang mengobatiku); Selamat buatmu, yang termulia di antara para nabi; Selamat buatmu, yang paling terpuji, wahai Muhammad; Selamat buatmu, Ṭāhā, wahai yang mulia (agung).",,28-37,31-40
sair_01_unit_04,1,a,Sair Pertama,4,puisi_sair,"السَّلَامُ عَلَيْكَ زَيْنَ الْأَنْبِيَاءِ
السَّلَامُ عَلَيْكَ كَهْفًا وَمَقْصَدْ * السَّلَامُ عَلَيْكَ يَا حَسَنًا تَفَرَّدْ","assalāmu 'alaika zainal anbiyā'i.
assalāmu 'alaika kahfan wa muqṣad; assalāmu 'alaika yā husnan tufarrad.","Selamat buatmu, yang termulia di antara para nabi; Selamat buatmu, gua (tempat berlindung) dan tidak bercacat; Selamat buatmu, yang kebaikannya tiada tandingan.",,28-37,31-40
sair_01_unit_05,1,a,Sair Pertama,5,puisi_sair,"السَّلَامُ عَلَيْكَ زَيْنَ الْأَنْبِيَاءِ
السَّلَامُ عَلَيْكَ يَا مَاحِيَ الذُّنُوْبِ * السَّلَامُ عَلَيْكَ يَا جَالِيَ الْكُرُوْبِ
السَّلَامُ عَلَيْكَ يَا خَيْرَ الْأَنَامِ * السَّلَامُ عَلَيْكَ يَا بَدْرَ التَّمَامِ
السَّلَامُ عَلَيْكَ يَا نُوْرَ الظَّلَامِ * السَّلَامُ عَلَيْكَ يَا كُلَّ الْمَرَامِ","assalāmu 'alaika yā mā hiyaz-zunūbi; assalāmu 'alaika yā jāliyal kurūbi.
assalāmu 'alaika yā khairal anām; assalāmu 'alaika yā badrat-tamām.
assalāmu 'alaika yā nūraẓ-ẓalām; assalāmu 'alaika yā kullal-marām.","Selamat buatmu, yang termulia di antara para nabi; Selamat buatmu, wahai penghapus dosa; Selamat buatmu, wahai penyingkap kesusahan; Selamat buatmu, wahai sebaik-baik makhluk; Selamat buatmu, wahai bulan purnama yang sempurna; Selamat buatmu, wahai cahaya di kegelapan; Selamat buatmu, wahai tujuan segala harapan.",,28-37,31-40
sair_01_unit_06,1,a,Sair Pertama,6,jabu_refrein,أَلْفَ صَلُّوْا عَلَى النَّبِيِّ خَاتَمِ الرُّسُلِ الْكِرَامِ,alfa ṣallū 'alan-nabiyyi khātimir-rusulil-kirām (jābu),Beribu-ribu salawat buat Nabi penutup para rasul yang mulia.,,28-37,31-40
sair_01_unit_07,1,a,Sair Pertama,7,puisi_sair,"السَّلَامُ عَلَيْكَ يَا ذَا الْمُعْجِزَاتِ * السَّلَامُ عَلَيْكَ يَا ذَا الْبَيِّنَاتِ
السَّلَامُ عَلَيْكَ يَا هَادِيَ الْهُدَاةِ * السَّلَامُ عَلَيْكَ يَا ذُخْرَ الْعُصَاةِ","assalāmu 'alaikayā żal mu'jizāt; assalāmu 'alaika yā żal bayyināt.
assalāmu 'alaika yā hādiyal hudāt; assalāmu 'alaika yā żukhral 'uṣāt.","Selamat buatmu, wahai yang memiliki mukjizat-mukjizat; Selamat buatmu, wahai yang memiliki penjelasan-penjelasan nyata; Selamat buatmu, wahai penuntun para pemberi petunjuk; Selamat buatmu, wahai simpanan pertolongan bagi orang-orang berdosa (teladan umat).",,28-37,31-40
sair_01_unit_08,1,a,Sair Pertama,8,puisi_sair,"السَّلَامُ عَلَيْكَ زَيْنَ الْأَنْبِيَاءِ
السَّلَامُ عَلَيْكَ يَا حَسَنَ الصِّفَاتِ * السَّلَامُ عَلَيْكَ يَا ذَا الْمَوْهِبَاتِ
السَّلَامُ عَلَيْكَ يَا رُكْنَ الصَّلَاحِ * السَّلَامُ عَلَيْكَ يَا رَبَّ السَّمَاحِ","assalāmu 'alaika yā hasanaṣ-ṣifāt; assalāmu 'alaika yā zal mauhibāt.
assalāmu 'alaika yā ruknaṣṣalāh; assalāmu 'alaika yā rabbas-samāh.","Selamat buatmu, yang termulia di antara para nabi. Selamat buatmu, wahai yang memiliki sifat-sifat mulia; Selamat buatmu, wahai yang memiliki banyak anugerah; Selamat buatmu, wahai tonggak kebaikan; Selamat buatmu, wahai pemilik kemurahan hati.",,28-37,31-40
sair_01_unit_09,1,a,Sair Pertama,9,jabu_refrein,أَلْفَ صَلُّوْا عَلَى النَّبِيِّ خَاتَمِ الرُّسُلِ الْكِرَامِ,alfa ṣallū 'alan-nabiyyi khātimir-rusulil-kirām (Jābu),Beribu salawat buat Nabi penutup para rasul yang mulia.,,28-37,31-40
sair_01_unit_10,1,a,Sair Pertama,10,puisi_sair,"السَّلَامُ عَلَيْكَ يَا زَيْنَ الْمِلَاحِ * السَّلَامُ عَلَيْكَ يَا دَاعِيَ الْفَلَاحِ
السَّلَامُ عَلَيْكَ يَا نُوْرَ الصَّبَاحِ * السَّلَامُ عَلَيْكَ يَا حَيَّ الْفَلَاحِ","assalāmu 'alaikayā zainal milāh; assalāmu 'alaika yā dā'iyal-falāh.
assalāmu 'alaika yā nūraṣṣabāh; assalāmu 'alaika yā hayyal-falāh.","Selamat buatmu, wahai yang terindah keelokannya; Selamat buatmu, wahai penyeru kepada kejayaan; Selamat buatmu, wahai cahaya fajar pagi; Selamat buatmu, wahai pembawa keberuntungan.",,28-37,31-40
